"ano","nome","classificacao","duracao","generos"
"1941","Citizen Kane","PG","1h 59m","Drama,Mystery"
"1931","M","Passed","1h 39m","Crime,Mystery,Thriller"
"1962","Lawrence of Arabia","Approved","3h 38m","Adventure,Biography,Drama"
"1959","North by Northwest","Approved","2h 16m","Action,Adventure,Mystery"
"1958","Vertigo","PG","2h 8m","Mystery,Romance,Thriller"
"1952","Ikiru","Not Rated","2h 23m","Drama"
"2001","Amélie","R","2h 2m","Comedy,Romance"
"1960","The Apartment","Approved","2h 5m","Comedy,Drama,Romance"
"1971","A Clockwork Orange","X","2h 16m","Crime,Sci-Fi"
"1944","Double Indemnity","Passed","1h 47m","Crime,Drama,Film-Noir"
"1987","Full Metal Jacket","R","1h 56m","Drama,War"
"2022","Top Gun: Maverick","PG-13","2h 10m","Action,Drama"
"1983","Scarface","R","2h 50m","Crime,Drama"
"2020","Hamilton","PG-13","2h 40m","Biography,Drama,History"
"2010","Incendies","R","2h 11m","Drama,Mystery"
"1962","To Kill a Mockingbird","Approved","2h 9m","Crime,Drama"
"1995","Heat","R","2h 50m","Action,Crime,Drama"
"1973","The Sting","PG","2h 9m","Comedy,Crime,Drama"
"2009","Up","PG","1h 36m","Animation,Adventure,Comedy"
"2011","A Separation","PG-13","2h 3m","Drama"
"1927","Metropolis","Not Rated","2h 33m","Drama,Sci-Fi"
"1976","Taxi Driver","R","1h 54m","Crime,Drama"
"1997","L.A. Confidential","R","2h 18m","Crime,Drama,Mystery"
"1988","Die Hard","R","2h 12m","Action,Thriller"
"2000","Snatch","R","1h 42m","Comedy,Crime"
"1989","Indiana Jones and the Last Crusade","PG-13","2h 7m","Action,Adventure"
"1948","Bicycle Thieves","Not Rated","1h 29m","Drama"
"2007","Like Stars on Earth","PG","2h 45m","Drama,Family"
"2019","1917","R","1h 59m","Action,Drama,War"
"2004","Downfall","R","2h 36m","Biography,Drama,History"
"2016","Dangal","Not Rated","2h 41m","Action,Biography,Drama"
"1965","For a Few Dollars More","R","2h 12m","Western"
"2005","Batman Begins","PG-13","2h 20m","Action,Crime,Drama"
"1921","The Kid","Passed","1h 8m","Comedy,Drama,Family"
"1959","Some Like It Hot","Passed","2h 1m","Comedy,Music,Romance"
"2020","The Father","PG-13","1h 37m","Drama,Mystery"
"1950","All About Eve","Passed","2h 18m","Drama"
"2013","The Wolf of Wall Street","R","3h","Biography,Comedy,Crime"
"2018","Green Book","PG-13","2h 10m","Biography,Comedy,Drama"
"1961","Judgment at Nuremberg","Approved","2h 59m","Drama,War"
"1995","Casino","R","2h 58m","Crime,Drama"
"1985","Ran","R","2h 42m","Action,Drama,War"
"2006","Pan's Labyrinth","R","1h 58m","Drama,Fantasy,War"
"1998","The Truman Show","PG","1h 43m","Comedy,Drama"
"2007","There Will Be Blood","R","2h 38m","Drama"
"1992","Unforgiven","R","2h 10m","Drama,Western"
"1999","The Sixth Sense","PG-13","1h 47m","Drama,Mystery,Thriller"
"2010","Shutter Island","R","2h 18m","Mystery,Thriller"
"2001","A Beautiful Mind","PG-13","2h 15m","Biography,Drama"
"1993","Jurassic Park","PG-13","2h 7m","Action,Adventure,Sci-Fi"
"1961","Yojimbo","Not Rated","1h 50m","Action,Drama,Thriller"
"1948","The Treasure of the Sierra Madre","Passed","2h 6m","Adventure,Drama,Western"
"1975","Monty Python and the Holy Grail","PG","1h 31m","Adventure,Comedy,Fantasy"
"1963","The Great Escape","Approved","2h 52m","Adventure,Drama,History"
"2007","No Country for Old Men","R","2h 2m","Crime,Drama,Thriller"
"2021","Spider-Man: No Way Home","PG-13","2h 28m","Action,Adventure,Fantasy"
"2003","Kill Bill: Vol. 1","R","1h 51m","Action,Crime,Drama"
"1950","Rashomon","Not Rated","1h 28m","Crime,Drama,Mystery"
"1982","The Thing","R","1h 49m","Horror,Mystery,Sci-Fi"
"2003","Finding Nemo","G","1h 40m","Animation,Adventure,Comedy"
"1980","The Elephant Man","PG","2h 4m","Biography,Drama"
"1974","Chinatown","R","2h 10m","Drama,Mystery,Thriller"
"1980","Raging Bull","R","2h 9m","Biography,Drama,Sport"
"2005","V for Vendetta","R","2h 12m","Action,Drama,Sci-Fi"
"1939","Gone with the Wind","Passed","3h 58m","Drama,Romance,War"
"1998","Lock, Stock and Two Smoking Barrels","R","1h 47m","Action,Comedy,Crime"
"2015","Inside Out","PG","1h 35m","Animation,Adventure,Comedy"
"1954","Dial M for Murder","PG","1h 45m","Crime,Thriller"
"2009","The Secret in Their Eyes","R","2h 9m","Drama,Mystery,Romance"
"2004","Howl's Moving Castle","PG","1h 59m","Animation,Adventure,Family"
"2017","Three Billboards Outside Ebbing, Missouri","R","1h 55m","Comedy,Crime,Drama"
"1957","The Bridge on the River Kwai","PG","2h 41m","Adventure,Drama,War"
"1996","Trainspotting","R","1h 33m","Drama"
"2013","Prisoners","R","2h 33m","Crime,Drama,Mystery"
"2011","Warrior","PG-13","2h 20m","Action,Drama,Sport"
"1996","Fargo","R","1h 38m","Crime,Thriller"
"2008","Gran Torino","R","1h 56m","Drama"
"1988","My Neighbor Totoro","G","1h 26m","Animation,Comedy,Family"
"2002","Catch Me If You Can","PG-13","2h 21m","Biography,Crime,Drama"
"2004","Million Dollar Baby","PG-13","2h 12m","Drama,Sport"
"1997","Children of Heaven","PG","1h 29m","Drama,Family,Sport"
"1982","Blade Runner","R","1h 57m","Action,Drama,Sci-Fi"
"1925","The Gold Rush","Passed","1h 35m","Adventure,Comedy,Drama"
"1995","Before Sunrise","R","1h 41m","Drama,Romance"
"2013","12 Years a Slave","R","2h 14m","Biography,Drama,History"
"2019","Klaus","PG","1h 36m","Animation,Adventure,Comedy"
"2011","Harry Potter and the Deathly Hallows: Part 2","PG-13","2h 10m","Adventure,Family,Fantasy"
"1954","On the Waterfront","Approved","1h 48m","Crime,Drama,Thriller"
"1959","Ben-Hur","G","3h 32m","Adventure,Drama"
"2014","Gone Girl","R","2h 29m","Drama,Mystery,Thriller"
"2014","The Grand Budapest Hotel","R","1h 39m","Adventure,Comedy,Crime"
"1957","Wild Strawberries","Not Rated","1h 31m","Drama,Romance"
"1926","The General","Passed","1h 7m","Action,Adventure,Comedy"
"1949","The Third Man","Approved","1h 33m","Film-Noir,Mystery,Thriller"
"1993","In the Name of the Father","R","2h 13m","Biography,Crime,Drama"
"1978","The Deer Hunter","R","3h 3m","Drama,War"
"1975","Barry Lyndon","PG","3h 5m","Adventure,Drama,War"
"2016","Hacksaw Ridge","R","2h 19m","Biography,Drama,History"
"1953","The Wages of Fear","Not Rated","2h 11m","Adventure,Drama,Thriller"
"2003","Memories of Murder","Not Rated","2h 12m","Crime,Drama,Mystery"
"1924","Sherlock Jr.","Passed","45m","Action,Comedy,Romance"
"2014","Wild Tales","R","2h 2m","Comedy,Drama,Thriller"
"1939","Mr. Smith Goes to Washington","Passed","2h 9m","Comedy,Drama"
"2015","Mad Max: Fury Road","R","2h","Action,Adventure,Sci-Fi"
"1957","The Seventh Seal","Not Rated","1h 36m","Drama,Fantasy"
"2009","Mary and Max","Not Rated","1h 32m","Animation,Comedy,Drama"
"2010","How to Train Your Dragon","PG","1h 38m","Animation,Action,Adventure"
"2015","Room","R","1h 58m","Drama,Thriller"
"2001","Monsters, Inc.","G","1h 32m","Animation,Adventure,Comedy"
"1975","Jaws","PG","2h 4m","Adventure,Thriller"
"1989","Dead Poets Society","PG","2h 8m","Comedy,Drama"
"1998","The Big Lebowski","R","1h 57m","Comedy,Crime"
"1953","Tokyo Story","Not Rated","2h 16m","Drama"
"1928","The Passion of Joan of Arc","Passed","1h 54m","Biography,Drama,History"
